address,status,x,y,address_id,full_address
彰化縣北斗鎮北斗鎮居仁里宮後二巷11號,ok,201710.921,2641143.251,BNR5575-8,彰化縣北斗鎮居仁里013鄰宮後二巷１１號
彰化縣北斗鎮北斗鎮新生里興農路一段537號,ok,203185.760,2639223.460,JWX6512-6,彰化縣北斗鎮新生里003鄰興農路一段５３７號
彰化縣北斗鎮北斗鎮東斗路10-11號,ok,202156.640,2640969.680,BNS0180-8,彰化縣北斗鎮東光里008鄰東斗路１０之１１號
彰化縣北斗鎮北斗鎮西安里復興路862巷7號,ok,200701.991,2641243.289,BNS1923-7,彰化縣北斗鎮西安里010鄰復興路８６２巷７號
彰化縣北斗鎮北斗鎮重慶里武英巷24號,ok,201467.238,2640893.488,BNS5966-3,彰化縣北斗鎮重慶里002鄰武英巷２４號
彰化縣北斗鎮大新路556號,ok,204902.131,2639029.930,BNR1370-0,彰化縣北斗鎮大新里002鄰大新路５５６號
彰化縣北斗鎮大新里大新路556號,ok,204902.131,2639029.930,BNR1370-0,彰化縣北斗鎮大新里002鄰大新路５５６號
彰化縣北斗鎮大新里新工一路1段80號B,ok,,,,
彰化縣北斗鎮大道里大道路187巷17號,ok,200469.691,2642087.133,BNR3133-8,彰化縣北斗鎮大道里008鄰大道路１８７巷１７號
彰化縣北斗鎮大道里學府路50號地上4地下,ok,,,,
彰化縣北斗鎮大道里文苑路17號地上7地下,ok,,,,
彰化縣北斗鎮大道里文苑路1段107號地上4地下,ok,,,,
彰化縣北斗鎮大道里文苑路一段136號,ok,201278.462,2641365.700,BNR3732-5,彰化縣北斗鎮大道里013鄰文苑路一段１３６號
彰化縣北斗鎮學府路50號,ok,201329.643,2641649.647,BNR2818-6,彰化縣北斗鎮大道里002鄰學府路５０號
彰化縣北斗鎮居仁里宮後二巷11號,ok,201710.921,2641143.251,BNR5575-8,彰化縣北斗鎮居仁里013鄰宮後二巷１１號
彰化縣北斗鎮復興路270號5樓,ok,201973.090,2641648.910,GDL1966-8,彰化縣北斗鎮文昌里015鄰復興路２７０號
彰化縣北斗鎮文昌里復興路300號,ok,192839.160,2661388.300,BLL3070-2,彰化縣鹿港鎮永安里030鄰復興路３００號
彰化縣北斗鎮文苑路136號,ok,201278.462,2641365.700,BNR3732-5,彰化縣北斗鎮大道里013鄰文苑路一段１３６號
彰化縣北斗鎮文苑路一段32號,ok,201460.965,2641344.408,BNR8219-2,彰化縣北斗鎮新政里010鄰文苑路一段３２號
彰化縣北斗鎮文苑路二段150號,ok,200579.268,2641401.887,BNS1633-0,彰化縣北斗鎮西安里008鄰斗苑路二段１５０號
彰化縣北斗鎮文賢街35號,ok,201323.610,2640740.117,BNS3561-9,彰化縣北斗鎮西德里011鄰文賢街３５號
彰化縣北斗鎮斗中路712號,ok,202601.991,2640824.882,BNR9968-7,彰化縣北斗鎮東光里005鄰斗中路７１２號
彰化縣北斗鎮斗苑路二段150號,ok,200579.268,2641401.887,BNS1633-0,彰化縣北斗鎮西安里008鄰斗苑路二段１５０號
彰化縣北斗鎮新政里文苑路一段32號,ok,201460.965,2641344.408,BNR8219-2,彰化縣北斗鎮新政里010鄰文苑路一段３２號
彰化縣北斗鎮新生里興農路二段105號,ok,202954.255,2639540.737,BNR8567-0,彰化縣北斗鎮新生里003鄰興農路二段１０５號
彰化縣北斗鎮東光里斗中路712號,ok,202601.991,2640824.882,BNR9968-7,彰化縣北斗鎮東光里005鄰斗中路７１２號
彰化縣北斗鎮東光里東斗路1-13號,ok,202487.950,2641035.830,BNR9703-3,彰化縣北斗鎮東光里003鄰東斗路１之１３號
彰化縣北斗鎮舜耕路27之4號,ok,200634.269,2640596.530,BNS3835-6,彰化縣北斗鎮西德里013鄰舜耕路２７之４號
彰化縣北斗鎮西安里復興路862巷7號,ok,200701.991,2641243.289,BNS1923-7,彰化縣北斗鎮西安里010鄰復興路８６２巷７號
彰化縣北斗鎮西德里文賢街35號,ok,201323.610,2640740.117,BNS3561-9,彰化縣北斗鎮西德里011鄰文賢街３５號
彰化縣北斗鎮西德里舜耕路27-4號,ok,200634.269,2640596.530,BNS3835-6,彰化縣北斗鎮西德里013鄰舜耕路２７之４號
彰化縣和美鎮中圍里桂東路159巷18號,ok,203043.410,2667620.130,BLN8718-0,彰化縣和美鎮中圍里002鄰桂東路１５９巷１８號
彰化縣和美鎮中圍里竹社路125號,ok,202514.930,2667604.600,BLN9389-7,彰化縣和美鎮中圍里019鄰竹社路１２５號
彰化縣和美鎮中寮里東興路25號,ok,203175.000,2667692.570,BLQ0572-8,彰化縣和美鎮中寮里007鄰東興路２５號
彰化縣和美鎮仁愛路279號,ok,198627.210,2666676.180,BLS1696-2,彰化縣和美鎮山犁里015鄰仁愛路２７９號
